Year,American League,National League,Average
1985,0.261,0.252,0.257
1986,0.262,0.253,0.258
1987,0.265,0.261,0.263
1988,0.259,0.248,0.254
1989,0.261,0.246,0.254
1990,0.259,0.256,0.258
1991,0.26,0.25,0.256
1992,0.259,0.252,0.256
1993,0.267,0.264,0.265
1994,0.273,0.267,0.27
1995,0.27,0.263,0.267
1996,0.277,0.262,0.27
1997,0.27,0.263,0.267
1998,0.271,0.262,0.266
1999,0.275,0.268,0.271
2000,0.276,0.266,0.271
2001,0.267,0.261,0.264
2002,0.264,0.259,0.261
2003,0.267,0.262,0.264
2004,0.27,0.263,0.264
2005,0.268,0.262,0.264
2006,0.275,0.265,0.269
2007,0.271,0.266,0.268
2008,0.268,0.26,0.264
2009,0.267,0.259,0.262
2010,0.26,0.255,0.257
2011,0.258,0.253,0.255
2012,0.255,0.254,0.255
2013,0.256,0.251,0.253
2014,0.253,0.249,0.251
2015,0.255,0.253,0.254
2016,0.257,0.254,0.255
2017,0.256,0.254,0.255
2018,0.249,0.247,0.248
,,,
