Year,American League,National League,Total
1985,"2,178","1,424","3,602"
1986,"2,290","1,523","3,813"
1987,"2,634","1,824","4,458"
1988,"1,901","1,279","3,180"
1989,"1,718","1,365","3,083"
1990,"1,796","1,521","3,317"
1991,"1,953","1,430","3,383"
1992,"1,776","1,262","3,038"
1993,"2,074","1,956","4,030"
1994,"1,774","1,532","3,306"
1995,"2,164","1,917","4,081"
1996,"2,742","2,220","4,962"
1997,"2,477","2,163","4,640"
1998,"2,496","2,568","5,064"
1999,"2,635","2,893","5,528"
2000,"2,688","3,005","5,693"
2001,"2,506","2,952","5,458"
2002,"2,464","2,595","5,059"
2003,"2,499","2,708","5,207"
2004,"2,605","2,846","5,451"
2005,"2,437","2,580","5,017"
2006,"2,546","2,840","5,386"
2007,"2,252","2,705","4,957"
2008,"2,270","2,608","4,878"
2009,"2,560","2,482","5,042"
2010,"2,209","2,404","4,613"
2011,"2,271","2,281","4,552"
2012,"2,500","2,434","4,934"
2013,"2,504","2,157","4,661"
2014,"2,025","2,161","4,186"
2015,"2,275","2,634","4,909"
2016,"2,657","2,953","5,610"
2017,"3,170","2,935","6,105"
2018,"2,900","2,685","5,585"
2019,"3,478","3,298","6,776"
